Lambda_GeV,mrho_GeV,theta_rad,theta_deg,Deltakappa_pct,sigmaBR_WW_fb
1948.7179487179487,1358.974358974359,-0.5193716378748796,-29.757802849027538,-13.186877100795636,5.034207268119043
2038.4615384615386,1358.974358974359,-0.5386118866117303,-30.860187898430997,-14.157846615358238,5.295129867456661
2128.205128205128,1358.974358974359,-0.5561528780176042,-31.865212674462818,-15.07076257559783,5.537775323158825
2217.948717948718,1358.974358974359,-0.57212969092634,-32.78061662420352,-15.925018270206925,5.762479774794136
2307.6923076923076,1358.974358974359,-0.5866783483235976,-33.61419329064815,-16.721587080744538,5.9699635162524975
2397.4358974358975,1358.974358974359,-0.5999305911560788,-34.37349087403183,-17.462519589710933,6.161182520433895
2487.1794871794873,1358.974358974359,-0.6120107060309934,-35.065630472397636,-18.150550632815452,6.337218550056395
2576.923076923077,1358.974358974359,-0.6230338255457314,-35.69720869766042,-18.78880454518098,6.49920134489993
2666.6666666666665,1358.974358974359,-0.6331052368094026,-36.2742580568093,-19.38058184339605,6.648255891741813
2756.4102564102564,1358.974358974359,-0.6423203485041544,-36.80224506466023,-19.929210166902234,6.785468457263461
2846.1538461538457,1358.974358974359,-0.6507650646381747,-37.286091658325624,-20.437944110773444,6.9118661709543225
2935.8974358974356,1358.974358974359,-0.6585163900524346,-37.730209890195205,-20.90990120009124,7.028406096353092
